Voyage No.,Avg Speed (in Good weather)
01 B,11
02 B,11.1
03 B,11.6
04 B,12.26
05 B,11.75
06 B,12.01
07B,10.1
08B,10.9
09B,9.8
10B,10.07
11B,12.28
13B,12.42
14B,12.32
15B,12.54
