Voyage No.,Avg Speed (in Good weather)
01 L,9.9
02 L,11.4
03 L,10.2
04 L,11.4
05 L,10
06 L,10.1
07L,9.5
08L,9.6
09L,9.3
10L,9.23
11L,10.91
