UTC Date & Time,TOTAL FO Consumption / 24 hrs
8/28/2021,35.22
8/29/2021,36.61
8/30/2021,36.82
8/30/2021,42.07
9/17/2021,37.52
9/18/2021,35.93
9/19/2021,35.04
9/20/2021,35
9/21/2021,35.01
9/22/2021,35.52
9/23/2021,35.07
9/23/2021,37.99
9/26/2021,40.24
9/27/2021,35.1
9/28/2021,35.06
9/29/2021,35
9/30/2021,35.06
10/1/2021,35
10/2/2021,35.02
10/3/2021,35.05
10/3/2021,39.16
10/6/2021,37.06
10/7/2021,35.5
10/8/2021,35.44
10/9/2021,37.09
11/6/2021,35.24
11/6/2021,36
12/24/2021,37.42
12/24/2021,30.52
1/11/2022,34.29
1/12/2022,34
1/13/2022,34.01
1/14/2022,34.04
1/15/2022,34.12
1/16/2022,34.1
1/17/2022,34.09
1/18/2022,34
1/19/2022,32.26
2/5/2022,23.92
2/6/2022,33.77
2/7/2022,32.43
2/8/2022,33.31
2/9/2022,32.51
3/10/2022,36.5
3/11/2022,35.5
3/11/2022,36.34
3/30/2022,33.85
3/31/2022,41.23
4/1/2022,7.38
4/2/2022,37.33
5/23/2022,37.11
5/24/2022,36.6
5/25/2022,34.5
5/25/2022,22.87
7/23/2022,29
7/24/2022,30.8
7/24/2022,9.2
7/26/2022,26.4
7/26/2022,32.4
8/29/2022,32.49
8/30/2022,31.6
8/31/2022,35.3
9/1/2022,30.3
9/2/2022,31
9/3/2022,29.8
25-Sep-22,30.44
26-Sep-22,29.8
27-Sep-22,30.3
28-Sep-22,30.4
29-Sep-22,29.3
30-Sep-22,28.8
1-Oct-22,26.4
16-Oct-22,26.94
17-Oct-22,29.7
18-Oct-22,30.9
19-Oct-22,30.4
20-Oct-22,30.1
21-Oct-22,30.4
22-Oct-22,30.74
