UTC Date & Time,Voyage No.,Instructed Speed,CP Fuel Cons. limit,SS/HS/PS,Steaming time (HRS),Speed (KTS),Slip (%),Wind force,ME FO Consumption,Total FO Consumption,ME FO Consumption / 24 hrs,TOTAL FO Consumption / 24 hrs
26-Sep-22,14 B,11,32,SS,24,13.13,-2.94,4,26.7,29.8,26.7,29.8
27-Sep-22,14 B,11,32,SS,24,12.58,0.33,4,27,30.3,27,30.3
28-Sep-22,14 B,11,32,SS,24,12.67,0.33,4,26.9,30.4,26.9,30.4
29-Sep-22,14 B,11,32,SS,24,11.42,4.53,5,26.4,29.3,26.4,29.3
30-Sep-22,14 B,11,32,SS,24,11.58,7.02,4,26,28.8,26,28.8
1-Oct-22,14 B,11,32,SS,12,12.08,1.36,5,11.7,13.2,23.4,26.4
16-Oct-22,15B,12.2,31,SS,15.5,12.65,-1.03,,2.2,17.4,3.41,26.94
17-Oct-22,15B,12.2,31,SS,24,12.29,1.67,3,3.3,29.7,3.30,29.70
18-Oct-22,15B,12.2,31,SS,24,11.38,,5,27.1,30.9,27.10,30.90
19-Oct-22,15B,12.2,31,SS,24,12.79,,3,27.2,30.4,27.20,30.40
20-Oct-22,15B,12.2,31,SS,24,10.92,,6,27,30.1,27.00,30.10
21-Oct-22,15B,12.2,31,SS,24,11.79,6.29,5,27.1,30.4,27.10,30.40
22-Oct-22,15B,12.2,31,SS,23.5,11.7,,6,27,30.1,27.57,30.74
,,,,,,,,,,,,
