Voyage No.,Avg Speed (Voyage)
01 L,9.9
02 L,11.4
03 L,9.9
04 L,11
05 L,9.5
06 L,10.1
07L,9.5
08L,9.4
09L,9.3
10L,9.3
11L,11.03
